,file_name,main_class,resolution,class_label,width,height,aspect_ratio,file_size_kb,mean_intensity,std_intensity,skewness,kurtosis,entropy,edge_density
0,DPP0012.TIF,data-tifs-2016-maps,Canon_60D,data-tifs-2016-maps_Canon_60D,480,270,1.778,238.72,115.127,52.972,-0.336,-1.033,5.191,0.141
1,DPP0012_mask.PNG,data-tifs-2016-maps,Canon_60D,data-tifs-2016-maps_Canon_60D,480,270,1.778,0.29,1.556,19.861,12.683,158.849,0.037,0.002
2,DPP0022.TIF,data-tifs-2016-maps,Canon_60D,data-tifs-2016-maps_Canon_60D,480,270,1.778,196.99,110.162,29.505,-1.342,0.874,4.25,0.034
3,DPP0022_mask.PNG,data-tifs-2016-maps,Canon_60D,data-tifs-2016-maps_Canon_60D,480,270,1.778,0.5,11.442,52.789,4.397,17.334,0.183,0.004
4,DPP0033.TIF,data-tifs-2016-maps,Canon_60D,data-tifs-2016-maps_Canon_60D,480,270,1.778,263.56,108.92,44.39,0.184,-0.999,5.079,0.164
5,DPP0033_mask.PNG,data-tifs-2016-maps,Canon_60D,data-tifs-2016-maps_Canon_60D,480,270,1.778,0.72,20.349,69.101,3.101,7.618,0.278,0.009
6,DPP0086.TIF,data-tifs-2016-maps,Canon_60D,data-tifs-2016-maps_Canon_60D,480,270,1.778,241.16,132.575,61.182,0.376,-0.969,5.248,0.132
7,DPP0086_mask.PNG,data-tifs-2016-maps,Canon_60D,data-tifs-2016-maps_Canon_60D,480,270,1.778,0.53,10.308,50.223,4.667,19.78,0.169,0.005
8,DPP0093.TIF,data-tifs-2016-maps,Canon_60D,data-tifs-2016-maps_Canon_60D,480,270,1.778,239.85,126.647,35.487,-0.21,-1.051,4.758,0.079
9,DPP0093_mask.PNG,data-tifs-2016-maps,Canon_60D,data-tifs-2016-maps_Canon_60D,480,270,1.778,0.26,2.072,22.892,10.958,118.085,0.047,0.002
10,DPP0100.TIF,data-tifs-2016-maps,Canon_60D,data-tifs-2016-maps_Canon_60D,480,270,1.778,220.54,119.587,41.133,0.303,-0.586,5.002,0.075
11,DPP0100_mask.PNG,data-tifs-2016-maps,Canon_60D,data-tifs-2016-maps_Canon_60D,480,270,1.778,0.46,8.65,46.161,5.149,24.516,0.148,0.004
12,DPP0122.TIF,data-tifs-2016-maps,Canon_60D,data-tifs-2016-maps_Canon_60D,480,270,1.778,340.68,114.071,59.555,0.315,-1.197,5.298,0.209
13,DPP0122_mask.PNG,data-tifs-2016-maps,Canon_60D,data-tifs-2016-maps_Canon_60D,480,270,1.778,0.45,9.098,47.3,5.006,23.065,0.154,0.004
14,DPP0173.TIF,data-tifs-2016-maps,Canon_60D,data-tifs-2016-maps_Canon_60D,480,270,1.778,236.45,118.139,51.965,0.237,-1.372,5.048,0.093
15,DPP0173_mask.PNG,data-tifs-2016-maps,Canon_60D,data-tifs-2016-maps_Canon_60D,480,270,1.778,0.44,11.329,52.542,4.422,17.554,0.182,0.004
16,DPP0183.TIF,data-tifs-2016-maps,Canon_60D,data-tifs-2016-maps_Canon_60D,480,270,1.778,319.28,123.994,47.137,0.123,-0.275,5.222,0.17
17,DPP0183_mask.PNG,data-tifs-2016-maps,Canon_60D,data-tifs-2016-maps_Canon_60D,480,270,1.778,0.45,11.542,53.009,4.375,17.141,0.184,0.004
18,DPP0219.TIF,data-tifs-2016-maps,Canon_60D,data-tifs-2016-maps_Canon_60D,480,270,1.778,290.93,118.269,51.41,0.232,-1.345,5.11,0.12
19,DPP0219_mask.PNG,data-tifs-2016-maps,Canon_60D,data-tifs-2016-maps_Canon_60D,480,270,1.778,0.41,13.779,57.652,3.945,13.563,0.21,0.004
